@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric

@data
1,'2019/12/08 21:34:48:970',1,364.827393,404.106262,53.956871,360.260773,359.280212,72.111732,395.630737,410.295044,48.858471,423.658386,407.240204,47.606747,447.286346,402.45282,49.247326,90,?,90
2,'2019/12/08 21:34:49:022',1,364.942871,404.011902,53.915638,360.469116,358.988159,72.034599,395.501587,409.989563,48.806156,423.553589,406.987305,47.545685,447.267761,402.275787,49.187534,90,?,90
3,'2019/12/08 21:34:49:069',1,364.97052,403.880585,53.882381,360.685883,358.546387,71.945313,395.359009,409.582062,48.746796,423.453308,406.605316,47.468864,447.232635,402.038818,49.122448,90,?,90
4,'2019/12/08 21:34:49:119',1,364.800049,403.907593,53.823105,360.266693,358.278687,71.838577,395.031433,409.201782,48.663471,423.149811,406.30188,47.387169,446.926788,401.825012,49.050541,90,?,90
5,'2019/12/08 21:34:49:169',1,364.839386,404.077576,53.813068,360.043884,358.252716,71.81356,394.939606,409.014771,48.637905,423.055939,406.161743,47.367741,446.874634,401.691772,49.030006,90,?,90
6,'2019/12/08 21:34:49:220',1,364.807007,404.197052,53.786747,359.805054,358.291016,71.797363,394.964844,408.884827,48.625145,423.165253,405.988678,47.346252,446.968781,401.574799,49.019585,90,?,90
7,'2019/12/08 21:34:49:270',1,364.803558,404.247986,53.770229,359.699341,358.352051,71.785881,395.085907,408.722717,48.605778,423.336792,405.797668,47.3228,447.123108,401.453674,49.009712,90,?,90
8,'2019/12/08 21:34:49:320',1,364.677185,404.345581,53.648773,359.46701,358.63385,71.728394,395.747437,408.47052,48.476295,423.880188,405.606506,47.234974,447.624146,401.319031,48.940716,90,?,90
9,'2019/12/08 21:34:49:370',1,363.982788,404.232422,53.522987,359.260376,358.840271,71.689102,396.371216,408.292969,48.369781,424.377289,405.493927,47.17041,448.1203,401.223602,48.888874,90,?,90
10,'2019/12/08 21:34:49:419',1,363.154785,404.092255,53.447491,359.028961,358.962067,71.694885,396.637878,408.257019,48.345829,424.628387,405.419922,47.15667,448.341797,401.17572,48.885323,90,?,90
